internal_sku,catalog_status,review_reason,review_flag,supplier_part_number,supplier_code_family,raw_description,normalized_part_name,brand_bike,primary_family,fitment_models,variant_tokens,side,net_rate_rs,sku_seed
SPL-HELO-PLUS,review,mixed_fitment_families,yes,12VHS1QT4540,NUMERIC,HELOGEN BULB LUMAX 45/40W HS1 SPL+/PAS+ Q,Helogen Bulb Lumax,UNIVERSAL/OTHER,SPLENDOR,Splendor Plus|Passion Plus,,,75.00,SPLENDOR-HELOGENB
UNI-CVMF,review,primary_family_review|generic_brand_only,yes,18355KWH760S,NUMERIC,COVER MUFFLER,Cover Muffler,UNIVERSAL/OTHER,UNIVERSAL,,,,232.02,UNIVERSAL-COVERMUF
UNI-CVMF,review,primary_family_review|generic_brand_only,yes,18355KWH970S,NUMERIC,COVER MUFFLER,Cover Muffler,UNIVERSAL/OTHER,UNIVERSAL,,,,295.30,UNIVERSAL-COVERMUF
UNI-CHKT,review,primary_family_review|generic_brand_only,yes,22K130LS,NUMERIC,CAM.CHAIN KIT,Chain Kit,UNIVERSAL/OTHER,UNIVERSAL,,,,350.84,UNIVERSAL-CHAINKIT
ACT-MIRR-BS6NM-LHS,review,mixed_fitment_families,yes,239SVM110BS6,NUMERIC,MIRROR ACTIVA BS6 110/DIO N/M LHS,Mirror,HONDA,ACTIVA,Activa BS6|Dio New Model,N/M|BS6|110,LHS,115.50,ACTIVA-MIRROR-LHS
UNI-PEDA,review,primary_family_review|generic_brand_only|sku_collision,yes,24701KCC900S,NUMERIC,PEDAL GEARCHANGE,Pedal Gearchange,UNIVERSAL/OTHER,UNIVERSAL,,,,144.14,UNIVERSAL-PEDALGEA
DSC-MIRR-RHS,review,mixed_fitment_families,yes,248SVMDTR,NUMERIC,MIRROR PULSAR DTSI/PLATINA/DISCOVER RHS,Mirror,BAJAJ,DISCOVER,Discover|Platina|Pulsar,,RHS,78.08,DISCOVER-MIRROR-RHS
SHI-SLFM,review,mixed_fitment_families,yes,26046090,NUMERIC,SELF MOTOR SHINE/EXTREME/UNICORN,Self Motor,HONDA,SHINE,Shine|Unicorn|Xtreme,,,1236.24,SHINE-SELFMOTOR
SPL-SLFM-ISMPROPL,review,mixed_fitment_families|many_fitments,yes,26046091,NUMERIC,SELF MOTOR PASSION PRO/SPL PRO/SPL+/I SMART,Self Motor,HERO,SPLENDOR,Splendor iSmart|Passion Pro|Splendor Pro|Splendor Plus,,,942.88,SPLENDOR-SELFMOTOR
ACT-SLFM-1101253G,review,mixed_fitment_families|many_fitments,yes,26261568,NUMERIC,SELF MOTOR ACTIVA 110 NM/125/3G/4G/ACCESS,Self Motor,HONDA,ACTIVA,Activa 110|Activa 125|Activa 3G|Activa 4G|Access,3G|4G|110|125,,913.90,ACTIVA-SELFMOTOR
UNI-SPEE,review,primary_family_review|generic_brand_only,yes,29K210S,NUMERIC,SPEEDOMETER DRIVE KIT,Speedometer Drive Kit,UNIVERSAL/OTHER,UNIVERSAL,,,,44.23,UNIVERSAL-SPEEDOME
UNI-FLSH,review,primary_family_review|generic_brand_only,yes,2FL1301,NUMERIC,FLASHER UNIVERSAL FOR 6V/12V DC (LISPART),Flasher,UNIVERSAL/OTHER,UNIVERSAL,,,,58.00,UNIVERSAL-FLASHER
UNI-HORN-BLK,review,primary_family_review|generic_brand_only,yes,2WH0703,NUMERIC,HORN LISPART BIG 72MM BLACK,Horn Lispart Big,UNIVERSAL/OTHER,UNIVERSAL,,,,95.00,UNIVERSAL-HORNLISP
UNI-RELA,review,primary_family_review|generic_brand_only,yes,38501AAW300998,NUMERIC,RELAY COMP START,Relay Comp Start,UNIVERSAL/OTHER,UNIVERSAL,,,,118.21,UNIVERSAL-RELAYCOM
UNI-ARMR,review,primary_family_review|generic_brand_only,yes,43410KCC900S,NUMERIC,ARM RR. BRAKE,Arm Rr. Brake,UNIVERSAL/OTHER,UNIVERSAL,,,,35.86,UNIVERSAL-ARMRRBRA
UNI-ARMF,review,primary_family_review|generic_brand_only,yes,45410KCC900S,NUMERIC,ARM FR.BRAKE,Arm Fr.Brake,UNIVERSAL/OTHER,UNIVERSAL,,,,32.34,UNIVERSAL-ARMFRBRA
UNI-PEDA,review,primary_family_review|generic_brand_only|sku_collision,yes,46500K WA910S,NUMERIC,PEDAL BRAKE,Pedal Brake,UNIVERSAL/OTHER,UNIVERSAL,,,,189.84,UNIVERSAL-PEDALBRA
UNI-GUAR,review,primary_family_review|generic_brand_only|sku_collision,yes,50803KCC900S,NUMERIC,GUARD LEG,Guard Leg,UNIVERSAL/OTHER,UNIVERSAL,,,,442.95,UNIVERSAL-GUARDLEG
UNI-GUAR,review,primary_family_review|generic_brand_only|sku_collision,yes,51103KCC900S,NUMERIC,GUARD SAREE,Guard Saree,UNIVERSAL/OTHER,UNIVERSAL,,,,309.36,UNIVERSAL-GUARDSAR
UNI-STEP,review,primary_family_review|generic_brand_only,yes,51104KCC900S,NUMERIC,STEP PILLION WOMEN,Step Pillion Women,UNIVERSAL/OTHER,UNIVERSAL,,,,116.01,UNIVERSAL-STEPPILL
